_id,INC NUMBER,OCCURRED ON,OCCURRED TO,UCR CRIME CATEGORY,100 BLOCK ADDR,ZIP,PREMISE TYPE,GRID,Latitude,Longitude
466916,202300000055599,01/11/2023  20:00,01/11/2023  22:15,LARCENY-THEFT,302XX N BLACK CANYON AC,85085,GOVERNMENT / PUBLIC BUILDING,FD21A,,
466917,202300000055801,01/11/2023  20:30,01/11/2023  21:00,LARCENY-THEFT,53XX E TAYLOR ST,85008,SINGLE FAMILY HOUSE,BB40,33.45339004081633,-112.07314965306122
466918,202300000065468,01/11/2023  20:30,01/13/2023  19:00,MOTOR VEHICLE THEFT,14XX E BELL RD,85022,APARTMENT,DH30,33.64035324324324,-112.07220275675675
466919,202300000056603,01/11/2023  20:30,01/12/2023  07:46,MOTOR VEHICLE THEFT,36XX W OSBORN RD,85019,APARTMENT,BF20,33.48762073469388,-112.07434923469388
466920,202300000055171,01/11/2023  20:52,01/11/2023  20:55,LARCENY-THEFT,126XX N PARADISE VILLAGE PKWY W,85032,DEPARTMENT / DISCOUNT STORE,DB37,33.6046328,-111.9864749
466921,202300000060447,01/11/2023  21:00,01/12/2023  11:30,MOTOR VEHICLE THEFT,82XX N 27TH AVE,85051,APARTMENT,CF23B,33.44888733333333,-112.117614
466922,202300000059308,01/11/2023  21:00,nan,AGGRAVATED ASSAULT,7XX E ROESER RD,85040,STREET / ROADWAY / SIDEWALK,AD29,33.399474981519035,-112.07313494658494
466923,202300000055289,01/11/2023  21:00,01/11/2023  21:18,LARCENY-THEFT,1XX S 64TH DR,85043,SINGLE FAMILY HOUSE,BA13,33.447727,-112.198081
466924,202300000056267,01/11/2023  21:00,01/12/2023  05:42,MOTOR VEHICLE THEFT,94XX N 32ND AVE,85051,APARTMENT,CH21,33.5157666,-112.126955
466925,202300000057782,01/11/2023  21:15,01/11/2023  21:30,LARCENY-THEFT,19XX E HIDALGO AVE,85040,PARKING LOT,AD31,33.393952392985,-112.07298916798779
466926,202300000055402,01/11/2023  21:54,nan,ROBBERY,N 45TH AVE & W PARADISE DR,85304,STREET / ROADWAY / SIDEWALK,DA18,,
466927,202300000057680,01/11/2023  22:00,01/12/2023  12:00,LARCENY-THEFT,15XX N 35TH ST,85008,CONSTRUCTION SITE,BC35A,33.4722786,-112.0068138
466928,202300000062579,01/11/2023  22:00,01/12/2023  03:00,MOTOR VEHICLE THEFT,84XX W VIRGINIA AVE,85037,APARTMENT,BE08,33.47674294997647,-112.07779477585017
466929,202300000055479,01/11/2023  22:13,01/11/2023  22:13,LARCENY-THEFT,96XX N METRO PKWY E,85051,RETAIL BUSINESS,CH22,33.5721519,-112.1197019
466930,202300000055496,01/11/2023  22:15,nan,AGGRAVATED ASSAULT,39XX E BELL RD,85032,PARK / PLAYGROUND,DG36,33.64018022033898,-112.0735543898305
466931,202300000055560,01/11/2023  22:33,nan,ROBBERY,40XX W ROSE LN,85019,STREET / ROADWAY / SIDEWALK,CB19,33.527967337837836,-112.07437822297298
466932,202300000055586,01/11/2023  22:46,nan,ROBBERY,37XX W OCOTILLO RD,85019,STREET / ROADWAY / SIDEWALK,CC20,33.534167636363634,-112.07415345454545
466933,202300000057444,01/11/2023  23:00,01/12/2023  11:00,MOTOR VEHICLE THEFT,68XX N 15TH AVE,85015,CARPORT,CC25,33.4488644375,-112.09152575
466934,202300000055792,01/11/2023  23:21,01/11/2023  23:21,ROBBERY,35XX W MONTEBELLO AVE,85019,STREET / ROADWAY / SIDEWALK,CA20,33.51978763932473,-112.07418360556137
466935,202380001943,01/11/2023  23:30,01/12/2023  00:00,LARCENY-THEFT,34XX E SKY HARBOR BLVD,85034,AIRPORT,AI35,33.4366271,-112.015932
466936,202300000055772,01/11/2023  23:42,nan,LARCENY-THEFT,43XX E WASHINGTON ST,85034,HOTEL / MOTEL,BA37,30.6163073,-92.057063
466937,202300000063448,01/12/2023  00:00,01/13/2023  13:37,BURGLARY,90XX N CAVE CREEK RD,85020,OFFICE / COMMERCIAL BUILDING,CH29,33.5700212,-112.062384
466938,202300000060963,01/12/2023  00:00,nan,BURGLARY,41XX W GLENDALE AVE,85019,APARTMENT,CC19,33.53840959375,-112.07587996875
466939,202300000087146,01/12/2023  00:00,nan,LARCENY-THEFT,196XX N CAVE CREEK RD,85050,UNKNOWN,EA33,33.7235731,-112.0101838
466940,202300000057623,01/12/2023  00:00,01/12/2023  14:30,DRUG OFFENSE,45XX N 67TH AVE,85033,APARTMENT,BI13,33.44799172021441,-112.20339231155678
466941,202300000058053,01/12/2023  00:00,01/12/2023  00:00,LARCENY-THEFT,17XX E GOLD DUST AVE,85020,RETAIL BUSINESS,CI31,33.5782314,-112.0449541
466942,202300000056317,01/12/2023  00:00,nan,LARCENY-THEFT,58XX S 35TH AVE,85041,FENCED COMMERCIAL YARD,AD20,33.44719859320693,-112.13460034907283
466943,202300000058263,01/12/2023  00:00,01/12/2023  00:00,AGGRAVATED ASSAULT,N 19TH AVE & W DUNLAP AVE,85021,BUS STOP,CH25,33.5674733,-112.09901
466944,202300000063953,01/12/2023  00:00,01/13/2023  13:00,LARCENY-THEFT,29XX W MARIPOSA ST,85017,SINGLE FAMILY HOUSE,BI22,33.50829534899329,-112.07427669798658
466945,202300000063305,01/12/2023  00:00,01/13/2023  13:00,MOTOR VEHICLE THEFT,33XX W GOLDEN LN,85051,STREET / ROADWAY / SIDEWALK,CG21,33.5659149,-112.1218753
466946,202300000056609,01/12/2023  00:00,nan,LARCENY-THEFT,28XX W CARSON RD,85041,DRIVEWAY,AB22,33.383258560810816,-112.07378018243243
466947,202300000059883,01/12/2023  00:00,nan,LARCENY-THEFT,8XX E BELL RD,85022,SPECIALTY STORE,DG29,33.64035312162162,-112.07224937837837
466948,202300000065078,01/12/2023  00:00,01/12/2023  23:59,AGGRAVATED ASSAULT,3XX E OAK ST,85004,PARK / PLAYGROUND,BE28,33.47284579591837,-112.07359183673469
466949,202300000059597,01/12/2023  00:00,nan,DRUG OFFENSE,26XX W BETHANY HOME RD,85017,PARKING LOT,CA23B,33.52388097959184,-112.07408195918367
466950,202300000057746,01/12/2023  00:00,nan,DRUG OFFENSE,77XX S 51ST AVE,85339,VEHICLE,IB16,33.446514484848485,-112.169023
466951,202300000060214,01/12/2023  00:00,nan,LARCENY-THEFT,38XX E SKY HARBOR BLVD,85034,AIRPORT,AI36,33.4366271,-112.015932
466952,202300000058535,01/12/2023  00:00,nan,LARCENY-THEFT,27XX W CAMELBACK RD,85017,DEPARTMENT / DISCOUNT STORE,BI22,33.50920713043478,-112.07410634782609
466953,202300000058690,01/12/2023  00:00,nan,DRUG OFFENSE,67XX W MCDOWELL RD,85035,CONVENIENCE MARKET / STORE,BD12,33.465655737950264,-112.07513353055526
466954,202300000057862,01/12/2023  00:00,01/12/2023  12:46,LARCENY-THEFT,39XX W MCDOWELL RD,85009,DEPARTMENT / DISCOUNT STORE,BC19A,33.46565500063803,-112.07462294183485
466955,202300000056316,01/12/2023  00:00,nan,LARCENY-THEFT,28XX W MINTON ST,85041,DRIVEWAY,AB22,33.3807297,-112.1162766
466956,202300000056083,01/12/2023  00:00,nan,DRUG OFFENSE,S 59TH AVE & W BASELINE RD,85339,VEHICLE,IB15,,
466957,202300000060504,01/12/2023  00:00,nan,LARCENY-THEFT,34XX W DUNLAP AVE,85051,PARKING LOT,CG21,33.56781465306123,-112.0743413877551
466958,202300000058251,01/12/2023  00:00,nan,DRUG OFFENSE,28XX N 52ND AVE,85035,ALLEY,BE16,33.4675178,-112.1719621
466959,202300000058948,01/12/2023  00:00,nan,LARCENY-THEFT,41XX W MAGDALENA LN,85339,STREET / ROADWAY / SIDEWALK,IB19,33.3706992,-112.1668638
466960,202300000056322,01/12/2023  00:00,nan,LARCENY-THEFT,20XX N 78TH GLN,85035,STREET / ROADWAY / SIDEWALK,BD10,33.4705893,-112.2285554
466961,202300000056723,01/12/2023  00:00,nan,LARCENY-THEFT,122XX N CAVE CREEK RD,85022,SINGLE FAMILY HOUSE,DA32,33.6342741,-112.0307916
466962,202300000084777,01/12/2023  00:00,01/15/2023  00:00,LARCENY-THEFT,122XX N 39TH AVE,85029,STREET / ROADWAY / SIDEWALK,DB19,33.45008555555555,-112.1432178888889
466963,202300000057917,01/12/2023  00:00,nan,ARSON,94XX N 17TH AVE,85021,nan,CH25,33.449086501363155,-112.09590168105798
466964,202300000057077,01/12/2023  00:00,nan,DRUG OFFENSE,19XX W CAMELBACK RD,85015,RETAIL BUSINESS,BI24,33.50920678260869,-112.07404008695651
466965,202300000060090,01/12/2023  00:00,nan,DRUG OFFENSE,N 75TH AVE & W MCDOWELL RD,85043,OTHER,BC11A,,
466966,202300000055823,01/12/2023  00:15,nan,AGGRAVATED ASSAULT,10XX S 8TH AVE,85007,APARTMENT,AJ26,33.44802575,-112.08375991666666
466967,202300000055861,01/12/2023  00:20,01/12/2023  00:30,AGGRAVATED ASSAULT,18XX W HORSETAIL TRL,85085,GROUP HOME,FG25,33.7835139,-112.0928892
466968,202300000057723,01/12/2023  01:00,01/12/2023  10:30,BURGLARY,9XX N 19TH ST,85006,APARTMENT,BB31,33.44852651020408,-112.04111351020407
466969,202300000060643,01/12/2023  01:30,nan,LARCENY-THEFT,18XX E CLARENDON AVE,85016,SINGLE FAMILY HOUSE,BG31A,33.491256031595384,-112.07348441841363
466970,202300000056009,01/12/2023  02:12,nan,AGGRAVATED ASSAULT,19XX N 32ND ST,85008,APARTMENT,BD34,33.44853163758389,-112.01280375838927
466971,202300000055848,01/12/2023  02:27,nan,AGGRAVATED ASSAULT,66XX S 10TH ST,85042,APARTMENT,AC29,33.44758133333333,-112.060541
466972,202300000064695,01/12/2023  03:00,01/12/2023  03:01,LARCENY-THEFT,64XX W HAZELWOOD ST,85033,VEHICLE,BI13,33.5035896,-112.227893
466973,202300000059660,01/12/2023  03:00,01/12/2023  04:00,LARCENY-THEFT,90XX S CENTRAL AVE,85041,RESTAURANT,IC27,38.5028209,-90.6274194
466974,202380000273,01/12/2023  03:04,01/12/2023  03:05,LARCENY-THEFT,2XX E MOHAVE ST,85004,APARTMENT,AI28,33.431260071428575,-112.0735831632653
466975,202300000056304,01/12/2023  03:41,nan,LARCENY-THEFT,160XX N 3RD AVE,85023,SINGLE FAMILY HOUSE,DF27,33.4499308674748,-112.07778347424296
466976,202300000057955,01/12/2023  04:30,01/12/2023  06:30,LARCENY-THEFT,148XX N BLACK CANYON AC,85053,VEHICLE,DE22,,
466977,202300000062062,01/12/2023  04:30,01/12/2023  04:35,LARCENY-THEFT,67XX N 27TH DR,85017,STREET / ROADWAY / SIDEWALK,CC22,33.44893881632653,-112.11849965306122
466978,202300000086711,01/12/2023  04:34,nan,LARCENY-THEFT,E PHELPS RD & N 9TH ST,85022,PARKING LOT,DG29,,
466979,202300000097693,01/12/2023  05:00,01/12/2023  07:30,LARCENY-THEFT,99XX W MISSOURI AVE,85307,APARTMENT,BJ04,33.516485220734445,-112.0757788917072
466980,202300000056251,01/12/2023  05:29,nan,MOTOR VEHICLE THEFT,27XX S 99TH AVE,85353,FAST FOOD STORE,AH05,33.44658331933775,-112.27232574173453
466981,202300000057767,01/12/2023  06:30,01/12/2023  12:26,LARCENY-THEFT,25XX W GREENWAY RD,85023,PARKING LOT,DE23,33.6253101,-112.1112117
466982,202300000058126,01/12/2023  07:00,01/12/2023  13:20,LARCENY-THEFT,39XX W MYRTLE AVE,85051,DRIVEWAY,CD19,33.54235759694034,-112.07530907610062
466983,202300000056565,01/12/2023  07:00,01/12/2023  07:40,LARCENY-THEFT,E APOLLO RD & S 42ND ST,85042,STREET / ROADWAY / SIDEWALK,AC37,,
466984,202300000056490,01/12/2023  07:25,nan,AGGRAVATED ASSAULT,83XX N 21ST DR,85021,APARTMENT,CF24,33.5426141,-112.1048054
466985,202300000056973,01/12/2023  07:30,nan,ROBBERY,34XX W THUNDERBIRD RD,85029,DEPARTMENT / DISCOUNT STORE,DC21,33.607667661954345,-112.0751748123654
466986,202300000149765,01/12/2023  07:30,01/13/2023  07:45,LARCENY-THEFT,XX E DUNLAP AVE,85020,SCHOOL-COLLEGE/UNIVERSITY,CG28,33.5677378,-112.0569639
466987,202300000056536,01/12/2023  07:34,nan,LARCENY-THEFT,5XX E ROSE LN,85012,APARTMENT,CB28,33.52736377777778,-112.07351691919192
466988,202300000056593,01/12/2023  07:40,01/12/2023  07:40,MOTOR VEHICLE THEFT,40XX N 77TH AVE,85033,STREET / ROADWAY / SIDEWALK,BG10,33.5040574,-112.2254259
466989,202300000056576,01/12/2023  07:42,nan,AGGRAVATED ASSAULT,18XX W MISSION LN,85021,SINGLE FAMILY HOUSE,CH25,33.569643295889094,-112.07435138336396
466990,202300000059535,01/12/2023  08:00,01/12/2023  17:55,LARCENY-THEFT,271XX N GIDIYUP TRL,85085,SINGLE FAMILY HOUSE,EJ24,33.7369328,-112.107328
466991,202300000058079,01/12/2023  08:00,01/12/2023  09:00,AGGRAVATED ASSAULT,8XX E BELL RD,85022,APARTMENT,DH29,33.64035312162162,-112.07224937837837
466992,202300000092206,01/12/2023  08:00,01/19/2023  09:00,DRUG OFFENSE,13XX W CAMELBACK RD,85013,SCHOOL-COLLEGE/UNIVERSITY,BI26,33.50920652173913,-112.07399039130435
466993,202300000056775,01/12/2023  08:00,nan,AGGRAVATED ASSAULT,42XX W UNION HILLS DR,85308,APARTMENT,DI19,33.654811122448976,-112.07463769387755
466994,202300000056653,01/12/2023  08:06,nan,LARCENY-THEFT,89XX N 19TH AVE,85021,CONVENIENCE MARKET / STORE,CG25,33.44899944897959,-112.09999369387755
466995,202300000056717,01/12/2023  08:22,nan,LARCENY-THEFT,15XX E BROADWAY RD,85040,CONVENIENCE MARKET / STORE,AF30,33.406638212121216,-112.07305613131312
466996,202380002186,01/12/2023  08:40,nan,LARCENY-THEFT,43XX E BELLEVIEW ST,85008,SCHOOL-ELEMENTARY/SECONDARY,BC37,33.4626437,-112.0059965
466997,202300000056778,01/12/2023  08:40,nan,LARCENY-THEFT,116XX N 27TH ST,85028,PARKING LOT,DA33,33.5943844,-112.0239953
466998,202300000058218,01/12/2023  08:57,01/12/2023  09:40,LARCENY-THEFT,46XX N 16TH ST,85014,PARKING GARAGE,BI30,33.448853093503196,-112.04784701905523
466999,202300000129978,01/12/2023  09:00,01/26/2023  13:45,MOTOR VEHICLE THEFT,65XX N 17TH AVE,85015,STREET / ROADWAY / SIDEWALK,CB25,33.44895330301848,-112.09570158008624
467000,202300000057072,01/12/2023  09:35,nan,LARCENY-THEFT,16XX W BUCKEYE RD,85007,DEPARTMENT / DISCOUNT STORE,AI25,33.437124529516055,-112.07487050899408
467001,202300000056989,01/12/2023  09:37,nan,DRUG OFFENSE,26XX N 24TH DR,85009,STREET / ROADWAY / SIDEWALK,BE23A,33.4788141,-112.1114889
467002,202300000057883,01/12/2023  09:40,01/12/2023  12:00,BURGLARY,72XX N BLACK CANYON AC,85051,APARTMENT,CD23A,,
467003,202300000057013,01/12/2023  09:43,nan,DRUG OFFENSE,68XX N 19TH AVE,85015,STREET / ROADWAY / SIDEWALK,CC25,33.448817875,-112.10019006249999
467004,202300000057032,01/12/2023  09:44,nan,LARCENY-THEFT,15XX E BROADWAY RD,85040,CONVENIENCE MARKET / STORE,AF30,33.406638212121216,-112.07305613131312
467005,202300000058792,01/12/2023  09:59,01/12/2023  10:04,BURGLARY,85XX W MIAMI ST,85353,SINGLE FAMILY HOUSE,AG08,33.4169336,-112.2833419
467006,202300000057156,01/12/2023  10:11,01/12/2023  11:22,DRUG OFFENSE,10XX N 51ST AVE,85043,PARKING LOT,BC17B,33.44675989795918,-112.16902026530613
467007,202300000057196,01/12/2023  10:22,nan,DRUG OFFENSE,198XX N 27TH AVE,85027,CONVENIENCE MARKET / STORE,EA22,33.4500988151388,-112.1176226713503
467008,202300000057262,01/12/2023  10:39,nan,DRUG OFFENSE,51XX W BASELINE RD,85339,DRUG STORE,IB16,33.377672979591836,-112.07418873469388
467009,202380000808,01/12/2023  11:00,01/12/2023  11:48,LARCENY-THEFT,35XX W BELL RD,85308,OFFICE / COMMERCIAL BUILDING,DH20,33.64017439285714,-112.07441485714286
467010,202300000057527,01/12/2023  11:00,nan,LARCENY-THEFT,16XX N 67TH AVE,85035,CONVENIENCE MARKET / STORE,BC13A,33.44842308636987,-112.20359784785343
467011,202300000057461,01/12/2023  11:20,nan,MOTOR VEHICLE THEFT,89XX N 19TH AVE,85021,APARTMENT,CG24,33.44899944897959,-112.09999369387755
467012,202300000058658,01/12/2023  11:30,01/12/2023  15:00,LARCENY-THEFT,114XX N 28TH DR,85029,APARTMENT,DA22,33.5785478,-112.1216274
467013,202300000057657,01/12/2023  11:48,nan,LARCENY-THEFT,16XX W BUCKEYE RD,85007,DEPARTMENT / DISCOUNT STORE,AI25,33.437124529516055,-112.07487050899408
467014,202300000057601,01/12/2023  11:51,nan,AGGRAVATED ASSAULT,26XX N 23RD AVE,85009,SCHOOL-ELEMENTARY/SECONDARY,BE23A,33.448393499999995,-112.10885675
467015,202300000077409,01/12/2023  12:00,01/16/2023  11:49,BURGLARY,19XX E CAMELBACK RD,85016,RENTAL STORAGE / FACILITY,BI31A,33.5091985,-112.07326362500001
467016,202300000062202,01/12/2023  12:00,01/13/2023  08:00,MOTOR VEHICLE THEFT,19XX W THUNDERBIRD RD,85023,APARTMENT,DD24,33.60750520246792,-112.0748839360311
467017,202300000057780,01/12/2023  12:10,01/12/2023  12:20,LARCENY-THEFT,12XX E MCKINLEY ST,85006,SINGLE FAMILY HOUSE,BB30,33.456706356456884,-112.07357674678983
467018,202300000057846,01/12/2023  12:23,nan,LARCENY-THEFT,184XX N 19TH AVE,85023,DRUG STORE,DI25,33.45001457142857,-112.1001822857143
467019,202300000057791,01/12/2023  12:30,01/12/2023  12:30,DRUG OFFENSE,51XX W BASELINE RD,85339,STREET / ROADWAY / SIDEWALK,AB16,33.377672979591836,-112.07418873469388
467020,202300000058081,01/12/2023  12:45,01/12/2023  13:10,LARCENY-THEFT,6XX N 2ND AVE,85003,APARTMENT,BB27,33.57241004081633,-112.07556220408163
467021,202300000057996,01/12/2023  12:45,01/12/2023  13:15,LARCENY-THEFT,94XX N 17TH AVE,85021,APARTMENT,CH25,33.449086501363155,-112.09590168105798
467022,202300000057956,01/12/2023  13:14,01/12/2023  13:14,DRUG OFFENSE,E GARFIELD ST & N 16TH ST,85006,STREET / ROADWAY / SIDEWALK,BB30,,
467023,202300000060382,01/12/2023  13:30,01/12/2023  20:50,MOTOR VEHICLE THEFT,76XX W THOMAS RD,85035,SHOPPING MALL,BE10,33.4803399375,-112.0746530625
467024,202300000058790,01/12/2023  13:30,nan,LARCENY-THEFT,32XX W CAMELBACK RD,85017,DRUG STORE,BI21,33.50937136363636,-112.07414977272727
467025,202300000058701,01/12/2023  13:35,01/12/2023  13:38,LARCENY-THEFT,168XX N 7TH ST,85022,DEPARTMENT / DISCOUNT STORE,DG28,33.6237163,-112.0654001
467026,202300000058143,01/12/2023  13:51,nan,AGGRAVATED ASSAULT,17XX W PEORIA AVE,85021,VEHICLE,CI25,33.5820591,-112.103541
467027,202300000078076,01/12/2023  14:00,01/13/2023  12:00,LARCENY-THEFT,41XX W ST ANNE AVE,85041,FENCED RESIDENTIAL YARD,AC19,33.386725065938464,-112.07384322702939
467028,202300000073349,01/12/2023  14:00,01/14/2023  12:00,MOTOR VEHICLE THEFT,3XX N CENTRAL AVE,85004,APARTMENT,BB28,39.2917077,-76.5994126
467029,202380000282,01/12/2023  14:25,01/12/2023  14:30,LARCENY-THEFT,17XX E CHANUTE PASS,85040,SINGLE FAMILY HOUSE,AD31,33.3985095,-112.0331984
467030,202300000058350,01/12/2023  14:30,01/12/2023  14:35,AGGRAVATED ASSAULT,20XX E BASELINE RD,85042,STREET / ROADWAY / SIDEWALK,AB32,33.378190599999996,-112.07296825
467031,202300000059483,01/12/2023  14:30,01/12/2023  15:15,MOTOR VEHICLE THEFT,77XX W LOWER BUCKEYE RD,85043,RESTAURANT,AH10,33.42073227429483,-112.35034782756908
467032,202300000059456,01/12/2023  14:30,01/12/2023  17:41,LARCENY-THEFT,132XX S 48TH ST,85044,APARTMENT,IH39,33.42694655736089,-111.97754654285313
467033,202300000087694,01/12/2023  15:00,01/16/2023  16:00,LARCENY-THEFT,40XX E MCDOWELL RD,85008,PARKING LOT,BC36,33.4659681147973,-111.93234595721287
467034,202300000058574,01/12/2023  15:00,nan,LARCENY-THEFT,25XX W UTOPIA RD,85027,MEDICAL OFFICE,EA23A,33.6618915,-112.1125551
467035,202300000058664,01/12/2023  15:00,01/12/2023  15:23,LARCENY-THEFT,104XX N 31ST AVE,85051,SPECIALTY STORE,CI22,33.449785525793764,-112.12614013559646
467036,202380000288,01/12/2023  15:17,01/12/2023  15:20,LARCENY-THEFT,19XX E CAMELBACK RD,85016,RETAIL BUSINESS,BI31A,33.5091985,-112.07326362500001
467037,202300000058775,01/12/2023  15:20,01/12/2023  15:44,LARCENY-THEFT,45XX E THOMAS RD,85008,RETAIL BUSINESS,BE38,33.480172572777,-112.07304843816212
467038,202380000319,01/12/2023  15:25,nan,LARCENY-THEFT,37XX W THOMAS RD,85009,DEPARTMENT / DISCOUNT STORE,BE20,33.4800229,-112.07587
467039,202300000081727,01/12/2023  15:30,01/17/2023  07:00,LARCENY-THEFT,6XX S 43RD AVE,85009,FENCED COMMERCIAL YARD,AJ19,33.447427125,-112.15182625
467040,202300000058688,01/12/2023  15:32,nan,DRUG OFFENSE,14XX E WOOD ST,85040,PARK / PLAYGROUND,AF30,32.2594886,-109.8293871
467041,202300000058816,01/12/2023  15:53,01/12/2023  15:53,DRUG OFFENSE,198XX N 27TH AVE,85027,BUS STOP,EA22,33.4500988151388,-112.1176226713503
467042,202300000058866,01/12/2023  16:00,nan,AGGRAVATED ASSAULT,27XX W CAMELBACK RD,85017,FAST FOOD STORE,BJ22,33.50920713043478,-112.07410634782609
467043,202380000276,01/12/2023  16:01,01/12/2023  17:01,LARCENY-THEFT,32XX E CHANDLER BLVD,85048,RESTAURANT,JC35,33.306251625,-111.840928625
467044,202300000058914,01/12/2023  16:09,nan,LARCENY-THEFT,47XX E UNION HILLS DR,85050,APARTMENT,DJ38,33.65465904109589,-112.07350261643836
467045,202300000058983,01/12/2023  16:21,01/12/2023  16:22,LARCENY-THEFT,24XX E CAMELBACK RD,85016,SPECIALTY STORE,BJ33,33.50936425,-112.07339027083333
467046,202300000061653,01/12/2023  16:30,01/13/2023  03:45,LARCENY-THEFT,142XX N 19TH AVE,85023,PARKING LOT,DD24,33.44967428571429,-112.10018614285714
467047,202300000068015,01/12/2023  16:30,01/12/2023  18:00,LARCENY-THEFT,46XX E COTTON GIN LOOP,85040,VEHICLE,AE38,33.4057336,-111.9826293
467048,202300000059090,01/12/2023  16:37,nan,DRUG OFFENSE,7XX E ALTA VISTA RD,85042,STREET / ROADWAY / SIDEWALK,AC29,33.38854376409991,-112.0731024117315
467049,202300000059165,01/12/2023  16:52,nan,AGGRAVATED ASSAULT,18XX W BELL RD,85023,DEPARTMENT / DISCOUNT STORE,DG25,33.640338724137926,-112.07435855172413
467050,202300000059761,01/12/2023  17:00,nan,DRUG OFFENSE,26XX W BETHANY HOME RD,85017,PARKING LOT,CA23B,33.52388097959184,-112.07408195918367
467051,202300000059491,01/12/2023  17:00,01/12/2023  17:00,AGGRAVATED ASSAULT,3XX N 3RD AVE,85003,STREET / ROADWAY / SIDEWALK,BB27,33.43557,-112.3528
467052,202300000062263,01/12/2023  17:00,nan,AGGRAVATED ASSAULT,70XX W HEATHERBRAE DR,85033,SCHOOL-ELEMENTARY/SECONDARY,BH12,33.4974474,-112.198644
467053,202300000059975,01/12/2023  17:00,01/12/2023  19:15,BURGLARY,21XX W AUGUSTA AVE,85021,SINGLE FAMILY HOUSE,CE24,33.5511322,-112.0852948
467054,202300000059490,01/12/2023  17:26,01/12/2023  17:42,LARCENY-THEFT,20XX E BASELINE RD,85042,SPECIALTY STORE,AB32,33.378190599999996,-112.07296825
467055,202300000062685,01/12/2023  17:30,01/13/2023  10:20,BURGLARY,203XX N CAVE CREEK RD,85024,SPECIALTY STORE,EB32B,33.7013829,-112.024477
467056,202300000059421,01/12/2023  17:35,nan,ROBBERY,10XX W HATCHER RD,85021,STREET / ROADWAY / SIDEWALK,CH26,33.571427224489796,-112.07541367346938
467057,202300000059525,01/12/2023  17:50,nan,ROBBERY,N 35TH AVE & W CACTUS RD,85029,PARK / PLAYGROUND,DB21,,
467058,202300000060148,01/12/2023  17:55,01/12/2023  17:55,LARCENY-THEFT,57XX N 19TH AVE,85015,DEPARTMENT / DISCOUNT STORE,CA25,33.44871928571428,-112.09999271428572
467059,202300000059717,01/12/2023  17:56,01/12/2023  18:26,LARCENY-THEFT,100XX N METRO PKWY E,85051,DEPARTMENT / DISCOUNT STORE,CI22,33.5721519,-112.1197019
467060,202300000059543,01/12/2023  17:58,01/12/2023  17:58,AGGRAVATED ASSAULT,E SOUTHERN AVE & S 20TH ST,85040,STREET / ROADWAY / SIDEWALK,AC31,,
467061,202300000060099,01/12/2023  18:00,01/12/2023  18:00,LARCENY-THEFT,350XX N NORTH VALLEY PKWY,85086,DEPARTMENT / DISCOUNT STORE,FJ21,33.8051226,-112.1360289
467062,202300000068403,01/12/2023  18:00,01/13/2023  06:00,MOTOR VEHICLE THEFT,132XX S 48TH ST,85044,APARTMENT,IH38,33.42694655736089,-111.97754654285313
467063,202300000059565,01/12/2023  18:00,nan,AGGRAVATED ASSAULT,22XX E TAYLOR ST,85006,APARTMENT,BB32,33.453559875,-112.073460875
467064,202300000059601,01/12/2023  18:10,nan,LARCENY-THEFT,83XX N 19TH AVE,85021,APARTMENT,CF24,33.44894691836735,-112.09999351020407
467065,202300000059789,01/12/2023  18:45,nan,LARCENY-THEFT,3XX E THOMAS RD,85004,VEHICLE,BE28,33.48017039787691,-112.07359783959309
467066,202300000059922,01/12/2023  19:00,nan,LARCENY-THEFT,6XX W INDIAN SCHOOL RD,85013,RETAIL BUSINESS,BH27,33.49491220833333,-112.073964375
467067,202300000060563,01/12/2023  19:00,nan,LARCENY-THEFT,187XX N 32ND ST,85050,PARKING LOT,DJ35,33.45012425503356,-112.0128015033557
467068,202380000287,01/12/2023  19:00,01/12/2023  21:40,LARCENY-THEFT,141XX N 32ND ST,85032,SCHOOL/COLLEGE/CHILD CARE,DD34,33.44968818120805,-112.01280212080538
467069,202300000059925,01/12/2023  19:13,nan,LARCENY-THEFT,25XX E CAMELBACK RD,85016,SPECIALTY STORE,BJ33,33.509197,-112.0731525
467070,202300000059948,01/12/2023  19:18,nan,LARCENY-THEFT,41XX N 51ST AVE,85031,PARKING LOT,BH17,33.447035102040815,-112.16901773469388
467071,202300000059955,01/12/2023  19:22,nan,LARCENY-THEFT,45XX E THOMAS RD,85008,DEPARTMENT / DISCOUNT STORE,BE38,33.480172572777,-112.07304843816212
467072,202300000060041,01/12/2023  19:25,nan,AGGRAVATED ASSAULT,83XX N 19TH AVE,85021,APARTMENT,CF24,33.44894691836735,-112.09999351020407
467073,202300000060016,01/12/2023  19:30,nan,AGGRAVATED ASSAULT,27XX W PEORIA AVE,85051,STREET / ROADWAY / SIDEWALK,CI22,33.5818331,-112.1240549
467074,202300000061963,01/12/2023  19:30,01/12/2023  20:30,LARCENY-THEFT,9XX E DEVONSHIRE AVE,85014,CONDO / TOWNHOUSE,BH29,33.4968031,-112.0549191
467075,202300000060049,01/12/2023  19:39,nan,LARCENY-THEFT,51XX W INDIAN SCHOOL RD,85031,DRUG STORE,BG16,33.49475055102041,-112.07434067346938
467076,202300000060149,01/12/2023  19:52,nan,LARCENY-THEFT,44XX E MCDOWELL RD,85008,GROCERY / SUPER MARKET,BD38,33.4664404297876,-111.93225306242648
